filename,filedate,filesize,disk,basedir,uri
12_Linux.mp4,20190112-03:16:06,36027169,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
13-Virtualization.pdf,20190103-21:22:26,1174839,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
13_AVS.mp4,20190112-03:16:14,70886978,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
14-XDB Basics.pdf,20190103-20:43:25,658688,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
14_PPV2.mp4,20190112-03:16:22,93142724,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
15-AVS_Training_.pdf,20190103-20:40:51,1158834,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
15_Virtualization.mp4,20190112-03:16:22,20696181,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
16_XDB.mp4,20190112-03:16:25,7976105,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
Armada Hands On.pdf,20190103-22:29:59,1626854,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
01 OCTEON TX and TX2.mp4,20190426-02:14:13,1328834517,c:,MARL2019,FAETraining\2019\IPBU Disty FAE Training
02 OCTEON-III TX TX2 Based System Hardware.mp4,20190426-04:00:31,1324390375,c:,MARL2019,FAETraining\2019\IPBU Disty FAE Training
03 OCTEON TX2 Boot Process.mp4,20190426-05:56:01,1269749194,c:,MARL2019,FAETraining\2019\IPBU Disty FAE Training
04 Unified SDK Orientation.mp4,20190504-00:59:43,1372014852,c:,MARL2019,FAETraining\2019\IPBU Disty FAE Training
05 Data Plane and Reference SW.mp4,20190504-02:50:57,1245906675,c:,MARL2019,FAETraining\2019\IPBU Disty FAE Training
OCTEON TX and TX2 Overview-SteveWatt-24APR2019.pptx,20190501-06:35:10,1590310,c:,MARL2019,FAETraining\2019\IPBU Disty FAE Training
Unified-SDK-Orientation-MikeCherba_24APR2019.pptx,20190501-00:53:53,427416,c:,MARL2019,FAETraining\2019\IPBU Disty FAE Training
CN96 Network Virtulization.ppt,20190401-10:59:00,3072512,c:,MARL2019,FAETraining\201904
CN96 SSO.PPT,20190415-10:20:22,3111936,c:,MARL2019,FAETraining\201904
cn96xx cpt hardware and software.pptx,20190506-21:46:37,698289,c:,MARL2019,FAETraining\201904
cn96xx GIC GTI.pptx,20190514-08:49:18,526585,c:,MARL2019,FAETraining\201904
CN96XX.PPTX,20190408-10:50:20,1449295,c:,MARL2019,FAETraining\201904
CN96XX_DMA-SDP.PPTX,20190602-22:55:24,1305509,c:,MARL2019,FAETraining\201904
CN96XX_NPA_NIX_NPC.pptx,20190421-11:39:36,2312778,c:,MARL2019,FAETraining\201904
PCIE on CN96xx.ppt,20190527-02:36:19,1953792,c:,MARL2019,FAETraining\201904
readme.txt,20190514-17:17:53,771,c:,MARL2019,FAETraining\201904
AI 分类.jpeg,20190424-21:41:45,134866,c:,MARL2019,FAETraining\AI
AI1.png,20190415-09:08:24,339887,c:,MARL2019,FAETraining\AI
AI_actions.png,20190415-09:27:43,275785,c:,MARL2019,FAETraining\AI
AI_comparison.png,20190415-09:23:03,490233,c:,MARL2019,FAETraining\AI
AI_glossary.png,20190415-09:41:56,240277,c:,MARL2019,FAETraining\AI
AI_vendors.png,20190415-09:19:47,270859,c:,MARL2019,FAETraining\AI
BootSequence.pdf,20190423-14:22:32,1737184,c:,MARL2019,FAETraining
BootSequence.pptx,20190423-14:22:28,1801604,c:,MARL2019,FAETraining
LiquidSecurity_day1.pptx,20190408-18:58:33,1492760,c:,MARL2019,FAETraining\LiquidSecurity
OpenWRT_demo_15April2019.docx,20190510-23:36:43,2472695,c:,MARL2019,FAETraining
1003.txt,20190319-18:30:35,45,c:,MARL2019,personal
1.jpg,20190319-13:35:38,101237,c:,MARL2019,personal\DellInspiron14R
2.jpg,20190319-13:37:00,99569,c:,MARL2019,personal\DellInspiron14R
3.jpg,20190319-13:36:37,1177105,c:,MARL2019,personal\DellInspiron14R
inspiron-14r-se-7420_Owner's Manual_zh-cn.pdf,20130311-20:38:24,2619312,c:,MARL2019,personal\DellInspiron14R
inspiron-14r-se-7420_Setup Guide_zh-cn.pdf,20130311-20:38:30,1852296,c:,MARL2019,personal\DellInspiron14R
ikang20190331.pdf,20190331-11:50:19,654762,c:,MARL2019,personal
"Li,+Huihai-+FAE.docx",20190418-19:14:44,29426,c:,MARL2019,personal
MW310RE V3.0快速安装指南 1.0.1.pdf,20190316-18:22:02,4985514,c:,MARL2019,personal
xcl_20_402.txt,20190328-18:17:31,155,c:,MARL2019,personal
yihuaiyu.pdf,20190520-10:50:52,42359,c:,MARL2019,personal
yihuaiyuan.pdf,20190520-10:54:37,42027,c:,MARL2019,personal
徐启明简历（ 高级软件工程师）英-2019.3.11.pdf,20190328-16:18:16,586660,c:,MARL2019,personal
徐启明简历（+高级软件工程师）2019.3.11.pdf,20190401-12:51:17,730258,c:,MARL2019,personal
20190423_lio3.txt,20190423-10:08:47,175,c:,MARL2019,Supports
NITROX Introduction for Baidu.pdf,20190527-15:32:50,3142430,c:,MARL2019,Supports\Baidu
NITROX Introduction for Baidu.pptx,20190527-15:32:47,715503,c:,MARL2019,Supports\Baidu
SmartNiC_for_Baidu.pdf,20190527-15:33:37,1370361,c:,MARL2019,Supports\Baidu
SmartNiC_for_Baidu.pptx,20190527-15:33:18,827211,c:,MARL2019,Supports\Baidu
CN96xx engagement summary - H3C.pptx,20190603-09:52:16,231429,c:,MARL2019,Supports
CN96XX_NPA_NIX_NPC_for_byzoro.pptx,20190424-18:54:26,566154,c:,MARL2019,Supports
CN96XX_traffic_flow.pdf,20190424-18:55:06,1215589,c:,MARL2019,Supports
CN9XXX_requirements_for_PKI_v1_01282019.xlsx,20190311-08:50:02,15684,c:,MARL2019,Supports
EB83_SDK6.xmind,20190605-17:09:58,309724,c:,MARL2019,Supports
