name,date,size,rootdir,fileurl
ESPRESSObin-V7-Hardware-Block-diagram-181202.pdf,20190228-08:58:54,82454,MARL2019,Supports\SDK_EBB\espressobin\ESPRESSObin-V7-Hardware-Block-diagram-181202.pdf
ESPRESSObin-V7-Hardware-Block-diagram-181202.pdf,20190226-17:51:43,82454,MARL2019,work\A37xx\ESPRESSObin-V7-Hardware-Block-diagram-181202.pdf
foxconn.xlsx,20190923-19:02:36,10336,MARL2019,Supports\foxconn\20190923\foxconn.xlsx
foxconn.xlsx,20190805-21:24:16,11821,MARL2019,Supports\foxconn\foxconn.xlsx
python3.bat,20190607-07:47:07,291,MARL2019,Tech\python3\Base64Coding\python3.bat
python3.bat,20181122-10:20:50,295,MARL2019,Tech\python3\FilesAnalysis\python3.bat
python3.bat,20190607-07:47:07,291,MARL2019,Tech\python3\capture\python3.bat
python3.bat,20181122-10:20:50,295,MARL2019,Tech\python3\syncDir\python3.bat
python3.bat,20181122-10:20:50,295,pytool,FilesAnalysis\python3.bat
python3.bat,20181122-10:20:50,295,pytool,FilesTransfer\python3.bat
python3.bat,20181122-10:20:50,295,pytool,syncDir\python3.bat
filesAnalysis_ThP480_Net_home.py,20190413-15:35:36,3214,MARL2019,Tech\python3\FilesAnalysis\filesAnalysis_ThP480_Net_home.py
filesAnalysis_ThP480_Net_home.py,20190413-16:14:13,3205,pytool,FilesAnalysis\filesAnalysis_ThP480_Net_home.py
filesAnalysis_lib.py,20190413-15:29:34,6048,MARL2019,Tech\python3\FilesAnalysis\filesAnalysis_lib.py
filesAnalysis_lib.py,20190901-19:45:30,6543,pytool,FilesAnalysis\filesAnalysis_lib.py
syncFiles_Dell_InspironR14_Net.py,20190409-21:44:14,3192,MARL2019,Tech\python3\syncDir\syncFiles_Dell_InspironR14_Net.py
syncFiles_Dell_InspironR14_Net.py,20191011-04:51:10,3192,pytool,syncDir\syncFiles_Dell_InspironR14_Net.py
syncFiles_Dell_InspironR14_USB.py,20190409-21:43:30,2893,MARL2019,Tech\python3\syncDir\syncFiles_Dell_InspironR14_USB.py
syncFiles_Dell_InspironR14_USB.py,20190830-02:44:42,2880,pytool,syncDir\syncFiles_Dell_InspironR14_USB.py
syncFiles_ThC_USB.py,20190409-21:44:38,3157,MARL2019,Tech\python3\syncDir\syncFiles_ThC_USB.py
syncFiles_ThC_USB.py,20190807-07:25:08,3144,pytool,syncDir\syncFiles_ThC_USB.py
syncFiles_ThP450_USB.py,20190409-21:43:10,2897,MARL2019,Tech\python3\syncDir\syncFiles_ThP450_USB.py
syncFiles_ThP450_USB.py,20190901-09:51:56,2888,pytool,syncDir\syncFiles_ThP450_USB.py
syncFiles_ThP480_Net_ThC.py,20190409-21:36:27,3247,MARL2019,Tech\python3\syncDir\syncFiles_ThP480_Net_ThC.py
syncFiles_ThP480_Net_ThC.py,20191009-08:10:10,3251,pytool,syncDir\syncFiles_ThP480_Net_ThC.py
syncFiles_ThP480_Net_home.py,20190409-21:22:16,3206,MARL2019,Tech\python3\syncDir\syncFiles_ThP480_Net_home.py
syncFiles_ThP480_Net_home.py,20190624-10:36:57,3202,pytool,syncDir\syncFiles_ThP480_Net_home.py
syncFiles_lib2.py,20190409-21:40:08,11213,MARL2019,Tech\python3\syncDir\syncFiles_lib2.py
syncFiles_lib2.py,20190624-10:36:03,11360,pytool,syncDir\syncFiles_lib2.py
syncFiles_lib3.py,20190409-21:15:37,11169,MARL2019,Tech\python3\syncDir\syncFiles_lib3.py
syncFiles_lib3.py,20191009-08:43:23,11320,pytool,syncDir\syncFiles_lib3.py
documentation.zip,20190917-11:46:47,38430018,SDK,SDK10\PR2006\documentation.zip
documentation.zip,20191008-17:19:51,38162758,SDK,SDK10\sdk10.0.1.0\documentation.zip
